Prompt Number,Title,Use Case,Full Prompt,Aspect Ratio,Best Platforms
011,Champagne Pour Celebration,"Luxury beverage advertising, celebration campaigns, event marketing","You are a high-speed beverage photographer specializing in dynamic liquid photography and premium champagne advertising campaigns. Create an elegant action photograph of champagne being poured into a crystal flute against black velvet background with liquid captured mid-pour showing carbonation bubbles and fluid movement. The golden liquid should catch light with internal glow and fine bubbles streaming upward in glass creating visual interest. Include a hand wearing elegant jewelry partially visible holding bottle with manicured nails. Use dramatic single-source lighting from side creating highlights on glass facets with high-speed photography freezing liquid motion while maintaining flow visibility. Employ celebratory luxury aesthetic with rich color contrast of gold champagne against darkness. Avoid motion blur, spills, or unrealistic bubble patterns.",4:5,Social Media / Beverage Marketing / Event Promotion
012,Leather Goods Flat Lay Organization,"Designer accessories, luxury brand campaigns, collection showcases","You are a luxury accessories photographer specializing in editorial flat lay compositions for premium leather goods brands. Create an organized overhead photograph of premium leather wallet, cardholders, and key fob arranged in intentional flat lay composition on Italian limestone surface. Use overhead lighting creating even illumination without harsh shadows with items positioned showing craftsmanship details and visible stitching. Feature rich caramel and chocolate leather tones with visible edge finishing details and monogram hardware catching subtle highlights. Use editorial product photography aesthetic with negative space balanced for text overlay. Shot from directly above with tilt-shift lens ensuring parallel plane sharpness across all products. Avoid shadows, uneven lighting, or cluttered arrangement.",1:1,Instagram / E-commerce Collections / Catalog Photography
013,Pearl Necklace Velvet Display,"Fine jewelry marketing, bridal accessories, luxury pearls","You are a fine jewelry photographer specializing in pearls and bridal jewelry for luxury jewelers and high-end retailers. Create an elegant product photograph of a graduated pearl necklace gracefully arranged on navy velvet display with each pearl showing lustrous surface and subtle natural color variations from cream to pale pink. Use macro detail revealing individual pearl surfaces, natural blemishes showing authenticity, and intricate gold clasp details. Employ soft directional lighting creating gentle shadows with luxurious color palette of navy and ivory with gold accents. Use high-end jewelry photography standards with background gradually fading to darkness emphasizing organic pearl character and quality grading. Shot with ring light for even illumination. Avoid plastic-looking pearls or artificial uniformity.",4:5,E-commerce / Pinterest / Bridal Marketing
014,Watch Dial Macro Detail,"Horological marketing, luxury timepiece details, watch enthusiast content","You are a horological macro photographer specializing in luxury watch details and movement photography for watch brands and collector publications. Create an extreme close-up photograph of a luxury watch dial showing intricate guilloche pattern, applied indices, hands, and finishing techniques on dial surface. Use macro lens revealing Swiss watchmaking craftsmanship with focus on center while edges softly blur into bokeh. Employ dramatic lighting emphasizing dimensional details with metallic surfaces showing brushed and polished contrasts. Feature cool silver and blue color palette with technical precision photography and detail-oriented composition showcasing movement complications. Shot at f/4 for critical sharpness zone maintaining detail in focus area. Avoid distorted dial, incorrect hand positions, or over-processed HDR look.",1:1,Instagram / Watch Enthusiast Content / Detail Marketing
015,Rose Gold Cosmetics Elegance,"Premium makeup brands, beauty e-commerce, feminine luxury","You are a beauty product photographer specializing in premium cosmetics and luxury makeup brand campaigns with editorial styling. Create a sophisticated product photograph of high-end lipstick and compact powder arranged on rose gold metallic tray positioned on soft pink marble surface. Use diffused natural light creating gentle shadows without harshness with rose gold packaging details reflecting light beautifully. Feature blush and nude color palette throughout with minimal styling and modern luxury aesthetic. Product labels should face forward clearly with editorial beauty photography standards and premium feminine aesthetic. Include negative space in composition for brand messaging shot with 85mm lens at f/4 for controlled depth. Avoid harsh lighting, color casts, or cluttered styling.",4:5,Instagram / Beauty E-commerce / Brand Campaigns
016,Executive Fountain Pen Portfolio,"Executive accessories, professional luxury goods, corporate gifting","You are a corporate luxury photographer specializing in executive accessories and professional leather goods for premium business brands. Create a refined product photograph of a premium fountain pen with gold nib resting diagonally across burgundy leather portfolio with warm directional lighting from top-left creating refined shadows. Use focus on pen nib showing craftsmanship and brand engraving details with leather texture showing rich grain and natural patina. Employ sophisticated masculine aesthetic with corporate luxury styling and selective focus keeping pen sharp while background gently blurs. Feature editorial commercial photography with deep rich colors of burgundy, gold, and black shot with 100mm macro lens. Avoid fake branding, plastic materials, or amateur lighting.",16:9,LinkedIn / Corporate Marketing / Executive Gift Campaigns
017,Crystal Glassware Luminous Still Life,"Luxury tableware, home entertaining, premium glassware","You are a luxury home goods photographer specializing in fine crystal and tableware for premium homeware brands. Create an elegant still life photograph of fine crystal wine glasses arranged in sophisticated grouping on white linen tablecloth with backlighting creating luminous glow through crystal showing clarity and cut patterns. Include subtle reflections on glossy surface beneath glasses with high-key lighting and controlled shadows. Use clean and sophisticated aesthetic with lifestyle luxury home styling emphasizing crystal quality and light refraction properties. Feature pristine white and crystal-clear color palette with commercial product photography for high-end brands. Avoid harsh shadows, color casts, or cluttered backgrounds.",4:5,E-commerce / Pinterest / Home & Lifestyle Marketing
018,Silk Necktie Editorial Menswear,"Men's fashion accessories, luxury menswear, designer ties","You are a menswear accessories photographer specializing in luxury ties and formal accessories for designer menswear brands. Create a refined product photograph of designer silk necktie artfully arranged showing pattern and fabric sheen on dark walnut wood surface with lighting creating highlights on silk texture. Position tie in gentle S-curve composition with rich pattern visible ensuring color accuracy critical for e-commerce. Use depth showing fabric weight and quality with masculine luxury aesthetic and selective focus on tie knot area transitioning to softness. Employ editorial menswear photography shot with natural window light and black bounce card for contrast enhancement. Avoid flat appearance, color inaccuracy, or unnatural fabric stiffness.",4:5,E-commerce / Men's Fashion Marketing / Social Media
019,Champagne Ice Bucket Sophistication,"Premium beverage lifestyle, hospitality advertising, luxury events","You are a luxury lifestyle photographer specializing in premium beverage and hospitality brand campaigns for high-end venues and champagne houses. Create an atmospheric product photograph of vintage champagne bottle in polished silver ice bucket filled with crushed ice and condensation beading on cold metal surface. Use dark atmospheric background suggesting upscale venue with warm ambient lighting creating reflections on silver surface. Include visible ice crystals with bottle label partially visible showing brand identity. Employ lifestyle luxury beverage photography with sophisticated celebration aesthetic and rich color palette of silver, gold foil, and deep shadows. Use commercial advertising style standards. Avoid over-lit scenes or cheap-looking props.",4:5,Hospitality Marketing / Social Media / Beverage Campaigns
020,Designer Sunglasses Mirror Reflection,"Eyewear brand campaigns, fashion accessories, summer collections","You are a fashion accessories photographer specializing in eyewear and sunglasses for designer fashion brands and optical retailers. Create a clean product photograph of high-end sunglasses on reflective black acrylic surface creating perfect mirror image with controlled studio lighting eliminating unwanted reflections in lenses. Show frames displaying premium materials and hardware details with modern minimalist composition and centered product placement. Use cool metallic color palette with commercial fashion photography standards and lenses showing subtle gradient tint. Maintain crisp focus throughout product with background fading to darkness. Shot with polarizing filter to control reflections precisely. Avoid distorted frames, visible studio reflections, or unnatural shadows.",1:1,Instagram / E-commerce / Fashion Marketing
021,Artisan Tea Set Marble Serenity,"Premium tea brands, lifestyle home products, wellness marketing",You are a lifestyle product photographer specializing in artisan tea brands and premium home goods with Japanese-inspired aesthetics. Create a serene overhead photograph of artisan ceramic teapot and cups arranged on white Carrara marble slab with steam rising from freshly poured tea creating atmosphere. Use natural window light from left creating soft shadows with Japanese-inspired minimalist aesthetic and muted earth-tone ceramics against cool marble. Feature lifestyle product photography with overhead angle showing arrangement and surface beauty emphasizing organic textures. Create serene and refined mood with premium home goods styling shot in natural light with white reflector fill. Avoid cluttered compositions or harsh lighting.,1:1,Pinterest / Lifestyle Blogs / E-commerce
022,Gold Lighter Flame Drama,"Luxury smoking accessories, men's lifestyle, premium gifts","You are a luxury lifestyle photographer specializing in premium men's accessories and smoking goods for high-end lifestyle brands. Create a dramatic close-up photograph of gold-plated luxury lighter on black background with single light source creating specular highlights on polished gold surface. Capture flame in sharp detail showing blue core and orange tip with macro photography revealing engraved details and craftsmanship. Use high contrast between glowing flame and dark surroundings with sophisticated masculine luxury aesthetic. Feature warm gold tones against cool darkness with commercial product photography and premium retouching. Avoid motion blur, fake flame effects, or excessive glow.",4:5,Social Media / Luxury Lifestyle / Product Detail Marketing
023,Luxury Stationery Flat Lay Detail,"Premium paper goods, corporate gifting, wedding stationery","You are a stationery and paper goods photographer specializing in luxury wedding and corporate stationery for premium paper brands. Create an organized overhead photograph of high-end embossed stationery cards, gold fountain pen, and wax seal arranged in organized flat lay on white oak surface. Use soft overhead lighting creating minimal shadows with textures visible showing paper quality and embossing depth. Feature sophisticated neutral color palette of cream, gold, and natural wood with editorial product styling and negative space for text. Employ lifestyle luxury home office aesthetic shot from directly above with even lighting distribution. Avoid harsh shadows or cluttered arrangements.",1:1,Instagram / Pinterest / Stationery Brand Marketing
024,Natural Skincare Botanical Elements,"Premium skincare, natural beauty, spa luxury",You are a natural beauty photographer specializing in organic skincare and wellness brands with spa-inspired aesthetics. Create a serene product photograph of elegant hand cream tube with gold cap positioned on natural stone beside fresh botanical elements like eucalyptus leaves and small white flowers. Use natural diffused daylight creating organic shadows with spa-like aesthetic and neutral earth tones. Show product reflecting luxury natural beauty philosophy with editorial skincare photography emphasizing textures of stone and botanicals. Create serene and refined mood with clean composition and intentional negative space shot with natural light only. Avoid artificial elements or clinical backgrounds.,4:5,Instagram / Natural Beauty Marketing / E-commerce
025,Watch Strap Craftsmanship Detail,"Watch brand advertising, craftsmanship storytelling, detail marketing","You are a horological detail photographer specializing in luxury watch craftsmanship and material photography for premium watch brands. Create a macro close-up photograph of luxury watch case transitioning to hand-stitched leather strap with emphasis on attachment point and stitching detail showing artisanal craftsmanship. Use dramatic side lighting creating texture visibility on both metal and leather materials with shallow depth of field focusing on stitching workmanship. Feature warm brown leather against cool steel case with artisanal detail photography and commercial horological marketing standards. Shot with 100mm macro lens at f/2.8 revealing construction quality. Avoid soft focus, poor lighting, or missing details.",16:9,Website Detail Imagery / Instagram / Brand Storytelling
026,Briefcase Leather Texture Close-Up,"Executive leather goods, professional accessories, craftsmanship focus","You are a leather goods photographer specializing in executive accessories and luxury leather craftsmanship for premium luggage and accessory brands. Create a detailed close-up photograph of premium briefcase showing full-grain leather texture, visible stitching, and brass hardware with lighting emphasizing leather grain and natural character marks. Feature warm brown leather tones with selective focus on hardware lock mechanism while background leather texture softly blurs. Use craftsmanship-focused photography with commercial leather goods marketing standards and rich material aesthetic. Shot with macro lens revealing authentic material quality and construction details. Avoid fake leather appearance or plastic-looking hardware.",4:5,Product Detail Pages / Instagram / Craftsmanship Marketing
027,Perfume Fresh Flowers Romance,"Fragrance advertising, beauty editorial, feminine luxury","You are a beauty and fragrance photographer specializing in feminine perfume campaigns and floral editorial styling for luxury beauty brands. Create a romantic product photograph of designer perfume bottle surrounded by fresh peonies and roses in coordinating soft pink and white tones with natural window light creating soft-focus atmosphere. Show glass bottle reflecting floral colors with shallow depth of field keeping bottle sharp while flowers create dreamy bokeh background. Use feminine luxury aesthetic with editorial fragrance photography and color palette of blush pink, white, and clear glass. Create delicate and elegant mood shot with 85mm lens at f/1.8. Avoid artificial flowers or harsh lighting.",4:5,Instagram / Pinterest / Fragrance Campaigns
028,Minimalist Silverware Linen Elegance,"High-end tableware, luxury home goods, dining aesthetics","You are a home goods photographer specializing in minimalist Scandinavian-inspired tableware and dining aesthetics for premium lifestyle brands. Create a clean overhead photograph of premium silver cutlery arranged on natural linen napkin with soft natural light creating gentle shadows and Scandinavian minimalist aesthetic. Use muted neutral palette of polished silver, linen white, and natural textile texture with editorial lifestyle photography emphasizing negative space in composition. Show quality and design simplicity with modern luxury home styling shot from above with diffused lighting. Avoid cluttered compositions or distracting elements.",1:1,Pinterest / Home Goods E-commerce / Editorial Features
029,Cigar Whiskey Masculine Luxury,"Premium tobacco and spirits, masculine lifestyle, lounge atmosphere","You are a luxury lifestyle photographer specializing in masculine products and premium spirits photography for cigar lounges and whiskey brands. Create an atmospheric photograph of hand-rolled cigar resting on edge of crystal tumbler filled with amber whiskey on dark walnut background with warm tungsten-balanced lighting creating intimate club atmosphere. Include smoke wisping from cigar creating atmospheric element with rich color palette of tobacco brown, amber liquid, and warm wood tones. Use sophisticated masculine luxury lifestyle aesthetic with commercial beverage and tobacco photography standards. Employ selective focus on cigar band with moody and refined aesthetic. Avoid bright lighting or casual settings.",4:5,Social Media / Lifestyle Marketing / Print Advertising
030,Cashmere Scarf Texture Luxury,"Premium textile marketing, winter fashion, luxury accessories",You are a textile and fashion photographer specializing in luxury fabric photography and premium winter accessories for high-end fashion brands. Create a macro close-up photograph of folded cashmere scarf showing fiber softness and weave structure with gentle lighting revealing textile texture without harsh shadows. Feature rich camel or charcoal color showing depth in folds with emphasis on material quality and tactile appeal. Use commercial textile photography with shallow depth of field focusing on fabric weave detail and luxurious material aesthetic. Employ neutral sophisticated color grading shot with macro lens revealing fiber quality and hand feel. Avoid flat appearance or synthetic-looking materials.,1:1,E-commerce Detail Images / Instagram / Fashion Marketing
031,Watch Box Premium Presentation,"Watch retail, premium gifting, luxury packaging",You are a luxury retail photographer specializing in product presentation and premium packaging for high-end watch brands and jewelers. Create an elegant photograph of open luxury watch presentation box with timepiece displayed on interior cushion and dramatic lighting from above creating shadows in box interior. Focus on watch face with box providing premium context showing materials including leather interior and polished wood or metal exterior. Use sophisticated product presentation photography with rich color palette and attention to packaging design details. Employ commercial retail photography standards shot at angle showing both watch and premium packaging together. Avoid cheap-looking materials or poor lighting.,4:5,E-commerce / Gift Marketing / Retail Display
032,Leather Gloves Silk Lining Detail,"Fashion accessories, luxury winter goods, craftsmanship focus",You are a fashion accessories photographer specializing in luxury leather goods and winter accessories for designer fashion brands. Create a refined product photograph of premium leather gloves arranged on marble surface with one glove artfully positioned showing interior silk lining and craftsmanship. Use refined lighting creating soft shadows with focus on leather quality and visible stitching details. Feature rich chocolate or black leather against cool marble with sophisticated composition and editorial fashion accessory photography. Emphasize textures showing leather grain and silk sheen with luxury lifestyle aesthetic shot with medium aperture for balanced sharpness. Avoid flat styling or poor material representation.,4:5,Fashion E-commerce / Instagram / Seasonal Campaigns
033,Champagne Bubbles Macro Celebration,"Luxury glassware, celebration marketing, beverage advertising",You are a high-speed beverage photographer specializing in macro liquid photography and champagne advertising for premium beverage brands. Create an elegant extreme close-up photograph of champagne flute with bubbles rising through golden liquid captured in sharp detail with macro lens showing individual bubbles and carbonation streams. Use backlighting creating luminous glow through glass and liquid with elegant stem and bowl visible. Feature celebration and luxury aesthetic with high-key lighting and clean background. Focus on bubble stream with soft fade to edges using commercial beverage photography standards. Shot with 100mm macro lens and fast shutter speed freezing bubble motion. Avoid motion blur or artificial bubbles.,4:5,Celebratory Marketing / Social Media / Beverage Advertising
034,Cufflinks White Shirt Formal Detail,"Men's fashion accessories, formal wear, luxury details",You are a menswear photographer specializing in formal accessories and detail photography for luxury men's fashion brands and tailors. Create a refined close-up photograph of gold or silver cufflinks on crisp white dress shirt cuff showing cufflink design detail and shirt fabric texture with soft directional lighting creating dimension. Focus on cufflink with background shirt slightly blurred using masculine luxury accessory photography aesthetic. Feature clean and refined style with metal catching small highlights and commercial menswear detail photography standards. Shot with 100mm lens at f/4 maintaining detail and sharpness. Avoid cluttered backgrounds or poor focus.,1:1,E-commerce / Menswear Marketing / Instagram
035,Designer Bag Hardware Macro,"Designer handbag marketing, craftsmanship storytelling, brand heritage","You are a luxury fashion detail photographer specializing in designer handbag craftsmanship and brand heritage storytelling for high-end fashion houses. Create a macro photograph of designer handbag hardware showing logo-engraved lock, clasp, or zipper pull with leather texture visible in soft-focused background. Use lighting emphasizing metal finish and engraving detail with shallow depth of field isolating hardware element for luxury brand storytelling through detail. Feature commercial fashion photography with warm or cool metallic tones against rich leather emphasizing quality construction. Shot with macro lens revealing craftsmanship and precision. Avoid fake branding or poor detail capture.",1:1,Instagram Detail Posts / E-commerce / Brand Heritage Marketing
036,Men's Cologne Wood Elements Masculine,"Men's fragrance advertising, masculine luxury, lifestyle marketing",You are a men's lifestyle photographer specializing in masculine fragrance campaigns and editorial product styling for premium men's grooming brands. Create an authentic lifestyle photograph of men's cologne bottle on aged wood surface beside masculine elements like leather-bound journal or vintage grooming tools with warm natural light from window creating authentic shadows. Use earth-tone color palette of browns and deep greens with lifestyle fragrance photography emphasizing authentic materials and textures. Feature editorial masculine aesthetic with product integrated into lifestyle scene shot with natural light and shallow depth of field. Avoid artificial staging or feminine aesthetics.,4:5,Social Media / Editorial Content / Fragrance Campaigns
037,Dark Chocolate Unwrapping Moment,"Premium chocolate marketing, artisan confections, luxury food gifts",You are a luxury food photographer specializing in artisan chocolate and premium confectionery for high-end chocolate brands and gourmet retailers. Create an indulgent photograph of artisan dark chocolate bar partially unwrapped from gold foil packaging with broken piece revealing interior texture on dark slate surface. Use dramatic side lighting creating highlights on foil and chocolate surface with rich brown color and gold accents. Employ editorial food photography with emphasis on quality and artisanal craftsmanship using selective focus on broken edge showing chocolate texture and snap. Feature premium confection aesthetic shot with macro lens. Avoid artificial shine or plastic appearance.,4:5,Food Marketing / Instagram / Premium Product Launch
038,Silk Pillowcase Morning Light Luxury,"Premium bedding, luxury sleep products, home lifestyle",You are a lifestyle home photographer specializing in luxury bedding and sleep products for premium home textile brands. Create a serene photograph of champagne or silver silk pillowcase on bed corner with morning natural light streaming across fabric showing lustrous sheen and natural draping. Show fabric weight and quality with soft focus lifestyle bedroom photography using neutral sophisticated color palette emphasizing silk texture and light interaction. Feature luxury home goods aesthetic with editorial bedroom styling creating serene and refined mood. Shot with natural window light creating gentle gradients and dimensional lighting. Avoid harsh shadows or artificial styling.,4:5,E-commerce / Pinterest / Lifestyle Marketing
039,Fountain Pen Nib Gold Macro,"Fine writing instruments, executive gifts, craftsmanship detail","You are a luxury goods macro photographer specializing in fine writing instruments and executive accessories for premium pen brands. Create an extreme macro close-up photograph of fountain pen nib showing brand engraving, iridium tip, and ink feed with gold or rhodium-plated finish catching light dramatically. Use selective focus with very shallow depth of field against black background isolating subject completely. Emphasize precision craftsmanship and detail with commercial luxury goods photography using warm metallic tones and technical product detail marketing. Shot with macro lens and ring light for even illumination revealing engraving clarity. Avoid soft focus or missing fine details.",1:1,Product Detail Marketing / Instagram / Craftsmanship Focus
040,Diamond Ring Velvet Box Presentation,"Fine jewelry retail, engagement ring presentation, luxury gifting",You are a jewelry retail photographer specializing in engagement rings and luxury jewelry presentation for high-end jewelers and bridal retailers. Create an elegant photograph of diamond ring displayed in open velvet jewelry box with interior lighting from within box creating subtle glow and dramatic external lighting highlighting gemstone brilliance. Focus on jewelry with box providing premium retail context showing rich velvet texture and sophisticated color palette of jewel tones and metallic accents. Use commercial jewelry marketing standards with proper gemstone photography capturing fire and brilliance. Shot with controlled studio lighting and black background. Avoid cheap-looking boxes or poor diamond rendering.,4:5,E-commerce / Social Media / Jewelry Retail
041,Leather Wallet Interior Organization,"Leather goods marketing, product functionality, organizational details","You are a product photographer specializing in leather accessories and functional product photography for premium leather goods brands. Create a detailed photograph of open luxury leather wallet showing interior card slots, bill compartment, and organizational details with warm lighting revealing leather grain and stitching quality throughout. Focus on craftsmanship and functionality with rich leather tones of cognac or black using commercial product photography showing features clearly. Use editorial lifestyle perspective with emphasis on quality construction and design thoughtfulness. Shot from above at slight angle revealing complete interior layout and organization. Avoid shadows obscuring details or poor lighting.",1:1,E-commerce / Product Feature Marketing / Instagram
042,Luxury Watch Wrist Lifestyle Context,"Watch advertising, lifestyle luxury, aspirational marketing",You are a lifestyle photographer specializing in luxury watch campaigns and aspirational product placement for premium timepiece brands. Create an authentic lifestyle photograph of luxury watch on male wrist with arm resting on steering wheel of high-end vehicle or executive desk with selective focus on watch face and background elements softly blurred providing affluent context. Use natural or warm indoor lighting with lifestyle luxury photography showing watch clearly including visible brand and accurate time display. Feature sophisticated masculine aesthetic with commercial lifestyle product photography standards. Shot with 85mm lens at wide aperture creating natural bokeh. Avoid fake settings or poor watch visibility.,4:5,Instagram / Lifestyle Marketing / Brand Campaigns
043,Candle Gift Set Flat Lay Luxury,"Home fragrance gifting, seasonal campaigns, luxury home goods",You are a lifestyle product photographer specializing in gift photography and home fragrance styling for premium candle brands and holiday campaigns. Create a beautiful overhead photograph of premium candle gift set arranged in flat lay on neutral linen surface with candles in glass vessels and elegant packaging visible. Use natural overhead lighting creating soft shadows with luxury home fragrance aesthetic and muted sophisticated color palette. Feature editorial gift presentation styling with negative space for text placement emphasizing premium packaging design. Suitable for holiday or special occasion marketing photography shot from directly above with even lighting. Avoid cluttered arrangements or harsh shadows.,1:1,Gift Guide Marketing / Pinterest / E-commerce
044,Eyeglasses Frame Temple Detail,"Eyewear marketing, optical retail, craftsmanship focus","You are an optical product photographer specializing in eyewear detail photography and frame craftsmanship for designer eyewear brands. Create a detailed close-up photograph of premium eyeglasses frame showing temple hinge, logo detail, and material quality with acetate or metal finish emphasized through careful lighting. Use shallow depth of field isolating frame element with commercial eyewear photography standards focusing on craftsmanship and design details. Feature neutral or dramatic background depending on brand aesthetic with product detail marketing photography standards. Shot with macro lens revealing construction quality, hinge mechanism, and finish details. Avoid distorted perspective or poor detail capture.",16:9,E-commerce Detail Images / Instagram / Optical Marketing
